,Track Name,Artist,Count,Streams,Position,spotify_id
472,Si Se Da - Remix,Myke Towers,22,5241,8,6K5BsR04ijf3FHNzjbaagD
473,Treat You Better,Shawn Mendes,22,3301,35,4Hf7WnR761jpxPr5D46Bcd
474,More Than You Know,Axwell /\ Ingrosso,22,1960,78,3PEgB3fkiojxms35ntsTgs
475,"Trueno: Bzrp Freestyle Sessions, Vol. 6",Bizarrap,22,5872,58,1DckcUSLpCfYsD1htu4JnF
476,Si Te Sentis Sola,Duki,22,2241,86,2Z4VK9otSeq3MxWcEgptUa
477,Yeezy,Anuel AA,22,3209,75,4CzA04WEvvXF6ItpzVTP4b
478,Recuerdos,Juhn,22,7492,38,3dUWDwfw7c1no8AL37PIJZ
479,Bailame despacio - Piso 21 Remix,Xantos,22,1611,104,7LFLJWIQFHsaDw5FOltT5Z
480,Sin Contrato - Remix,Maluma,22,1441,88,2xNZeeqmwMPVKnD7FSQfgt
481,2U (feat. Justin Bieber),David Guetta,22,4594,35,3A7qX2QjDlPnazUsRk5y0M
482,Cambio,Ozuna,22,9282,28,3cg9A9GVyZAT2CPevqWr65
483,Amigos y Enemigos - Remix,Trap Capos,22,1491,107,2sA4woGW5KgEgGXXxOKPAZ
484,Lalala,Y2K,22,9436,27,51Fjme0JiitpyXKuyQiCDo
485,La Bicicleta,Carlos Vives,22,3201,37,0sXvAOmXgjR2QUqLK1MltU
486,Una Vez Más,Manuel Turizo,22,2071,120,3PKk9pGTfQBINlJrEyrH6c
487,Dile,Don Omar,22,7368,53,69Ej1xrGjOcHvIMtMKxK0G
488,Presiento,Morat,22,3588,97,2V4hc5gplg7EXlrRUvD4rp
489,Don't Let Me Down,The Chainsmokers,22,3550,30,0QsvXIfqM0zZoerQfsI9lm
490,Hasta Abajo,Kevin Roldan,22,5124,74,4PEfJZpVjdclfzZ9XO8uDw
491,MALA,6ix9ine,22,9328,30,0LQ1J0BCzA2qnAgp9MkkNE
492,Congratulations,Post Malone,22,1324,140,3a1lNhkSLSkpJE4MSHpDu9
493,Starboy,The Weeknd,22,4199,18,5aAx2yezTd8zXrkmtKl66Z
494,DUELE EL CORAZON,Enrique Iglesias,22,2379,52,6YZdkObH88npeKrrkb8Ggf
495,My Way,Calvin Harris,22,4239,20,1vvNmPOiUuyCbgWmtc6yfm
496,Me Tiene Mal,Paulo Londra,21,3796,42,5BHiSQqlKWKoSmASzJTrVg
497,Heathens,Twenty One Pilots,21,3305,34,6i0V12jOa3mr6uu4WYhUBr
498,Me Gusta,Natti Natasha,21,2951,83,1N3rf6ZFzb8NPYeLCmgzj7
499,CANGURO,WOS,21,8649,13,2UAWYufVaO3EnUUNzl0ppO
500,Slide (feat. Frank Ocean & Migos),Calvin Harris,21,1487,91,6gpcs5eMhJwax4mIfKDYQk
501,"Ni Contigo, Ni Sin Ti",Los Angeles Azules,21,8836,12,3tHYpuF2eIc4pDrzIdNN3Y
502,Ahora,J Balvin,21,5866,27,2yBWnRKj0Zx7AF1kufajvW
503,Mírame,Nio Garcia,21,3953,68,36dhj3CSJ2gsED35rBswno
504,Sé Que Te Duele,Alejandro Fernandez,21,1413,92,5vZfgeDfNhlkKeJqjzSAmg
505,Gucci Gang,Lil Pump,21,4647,49,43ZyHQITOjhciSUUNPVRHc
506,There for You,Martin Garrix,21,2212,59,6jA8HL9i4QGzsj6fjoxp8Y
507,Wonderwall - Remastered,Oasis,21,1744,132,5qqabIl2vWzo9ApSC317sa
508,Ahora Me Llama - Remix,KAROL G,21,2317,66,3FaqBbYj8arTCdhVABY8mB
509,Solo a Solas (feat. Maluma),Cosculluela,21,1950,102,4iKuG50iHNBaybQOo11yrN
510,Goteo,Duki,21,9904,26,1EoEU4HY57qaITp06TkC6B
511,Kikadinha,Jerry Smith,21,2460,99,5TUYLsiIi3tuvR2fCJjZUy
512,Llégale,Lunay,21,4396,67,4vK8Kvyw1mabkMXJqbZOZT
513,She Don't Give a FO (feat. Khea),Duki,21,7594,25,7ehmaSwhEZv4aaJzxsVMGY
514,Tutu,Camilo,21,9336,2,1nocRtwyNPVtGcIJqfgdzZ
515,"Tumbando el Club (feat. C.R.O., Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea,21,4177,65,0OWcpVA83HI8Pb5DybDuoX
516,One Dance,Drake,21,3656,26,1xznGGDReH1oQq0xzbwXa3
517,Dices Que Te Vas,KAROL G,20,9748,25,0QHOIQxRlIPYPJ1HLgIN8S
518,Quando a vontade bater (Participação especial de PK Delas),Pk,20,3063,127,26WpOBpHiIMoBuMEIwtOCH
519,Amar Amei,Mc Don Juan,20,2147,90,1kNVJQEkobOlyfbctPZ4fs
520,Detective,Rauw Alejandro,20,3535,108,5lFl0Aksww4t4CGiYYtpZz
521,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,20,2627,102,0IQCOAw9ZAI6WnXIrl481F
522,"Ayer 2 (feat. Dj Nelson, J Balvin, Nicky Jam, Cosculluela)",Anuel AA,20,2090,74,5ZF3889W92eTBOROe0lPNN
