,Track Name,Artist,Count,Streams,Position,spotify_id
65,Puntos Suspensivos,Piso 21,66,3975,29,04cd1MHVq1D8v1nuTZoCdv
66,Solita,Ozuna,66,5722,5,7rwX0O3RlxqqIjQM8evm5E
67,Psycho (feat. Ty Dolla $ign),Post Malone,65,2707,28,3swc6WTsr7rl9DqQKQA55C
68,Mayores,Becky G,64,5932,1,7JNh1cfm0eXjqFVOzKLyau
69,Suena El Dembow,Joey Montana,63,4208,10,0woHVOh3KXLSDv8VU9XwZ4
70,Síguelo Bailando,Ozuna,63,5730,6,5Y9fnynLlIvqtM710MHzfz
71,Duro y Suave,Leslie Grace,63,3255,18,31M5m42C3EGlbydf9XB5to
72,MIA (feat. Drake),Bad Bunny,63,9810,1,116H0KvKr2Zl4RPuVBruDO
73,Desconocidos,Mau y Ricky,63,9860,2,0s5DNDV6LAKn2u2Ufa3VjQ
74,Soy Peor,Bad Bunny,63,2833,20,5MT96Zz0ymUJNm8obKZQr0
75,Calma - Remix,Pedro Capó,63,9995,1,5iwz1NiezX7WWjnCgY5TH4
76,Loca Remix,KHEA,63,3555,18,2CRbiMK0W14l71SpDKqKZM
77,Baby Girl (feat. Lalo Ebratt),Mario Bautista,63,4439,20,6o8ogTrSX8H0F66Pdz3Tsc
78,Hipócrita,Anuel AA,63,3667,20,4CbANooTL2aTHzJZqQ0Uvk
79,Promises (with Sam Smith),Calvin Harris,63,2229,48,5N5k9nd479b1xpDZ4usjrg
80,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62,4281,23,0RiRZpuVRbi7oqRdSMwhQY
81,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,62,2478,57,45sVRPegWSGpIcsrDoaaCY
82,Reggaetón Lento (Bailemos),CNCO,62,6238,1,3AEZUABDXNtecAOSC1qTfo
83,La Rompe Corazones,Daddy Yankee,61,3960,10,4okba5wu9mMLXx79DXLKi3
84,Bella,Wolfine,61,7845,2,1Ft13La2daEGqz5yWJC7lx
85,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,61,3625,15,4QtiVmuA88tPQiCOHZuQ5b
86,Mi Gente,J Balvin,61,8711,1,2rb5MvYT7ZIxbKW5hfcHx8
87,Si Tú La Ves (feat. Wisin),Nicky Jam,61,2531,22,4yN6xPLopmTLvc27pO9LIE
88,Bella y Sensual,Romeo Santos,61,3514,17,0ERbK7qVqveCaBWIiYCrl3
89,Ella Quiere Beber - Remix,Anuel AA,60,7920,5,2cYnZNzFRFK0H7vSNxPsUq
90,Fíjate Que Si,Edwin Luna y La Trakalosa de Monterrey,60,1969,58,3YwEMdP2zkOiIq074Vlvqc
91,Quiere Beber,Anuel AA,60,6862,4,0FDMH2ahuIVzCybwHJK9zh
92,Felices los 4,Maluma,60,8990,1,0qYTZCo5Bwh1nsUFGZP3zn
93,Dura,Daddy Yankee,60,8861,1,2j2fIJGh4PMdXt9ULI5Tlc
94,Créeme,KAROL G,60,5159,15,1mT47pKLXUwPYGwB91GcNz
95,Downtown,Anitta,59,5923,4,3Ga6eKrUFf12ouh9Yw3v2D
96,El Amante,Nicky Jam,59,6013,4,3umS4y3uQDkqekNjVpiRUs
97,Culpables,KAROL G,59,5562,8,4RGKft6YTTWHjpQeRIInuS
98,Lamento Boliviano,Los Enanitos Verdes,59,2154,94,6Pur3hWy6Nzc27ilmsp5HA
99,Sola,Manuel Turizo,59,4749,18,0KHhNlHN5lWn7q332PiPys
100,Adan y Eva,Paulo Londra,59,9865,3,132ALUzVLmqYB4UsBj5qD6
