,Track Name,Artist,Count,Streams,Position,spotify_id
3462,Line Of Fire Pt. 5,Nines,1,72340,147,0jjLSyJceJOKx6poYmWBWt
3463,Make It Up 2 U,Nines,1,71113,151,3T9MfYyQaOaQO855bobpCd
3464,Rich Sex (feat. Lil Wayne),Nicki Minaj,1,58775,149,7kph8uPhOXHMfKzPJvIeah
3465,The Overpass,Panic! At The Disco,1,81136,106,4hUR3thIs01mQUtVmZFJ8F
3466,King of the Clouds,Panic! At The Disco,1,86530,102,50Hv5NZIM0puIUoBttjpfb
3467,One of the Drunks,Panic! At The Disco,1,87596,99,5trCWbYtza0QUxdmF9HAPX
3468,Roaring 20s,Panic! At The Disco,1,105277,75,0wdV94AXGRphrbkDWLNzVC
3469,Dancing's Not a Crime,Panic! At The Disco,1,117633,66,6PFoEnjp0PAe5siGswjH9i
3470,"Hey Look Ma, I Made It",Panic! At The Disco,1,117821,65,22oEJW6r2rMb9z4IntfyEa
3471,Woke Up In Japan,5 Seconds of Summer,1,50609,197,5FA9XC36IlV9bnhMqqzNc9
3472,Home With You,Madison Beer,1,51298,191,11GGSyTB8cS9TgONHBOhEX
3473,If You Wanna Love Somebody - Single Version,Tom Odell,1,54162,175,4BE33oAYgmnefZGo5pbUaJ
3474,Just My Type,The Vamps,1,54735,174,33npucdtC2uQou2OM2KmRQ
3475,Why Won’t You Love Me,5 Seconds of Summer,1,55048,172,0qrYEShkVZeSaBPgmx3mfR
3476,Fire,KIDS SEE GHOSTS,1,56903,163,7oHkit3F3vimtsBbnZkU0G
3477,More,5 Seconds of Summer,1,57016,162,66vUuzBvVOfMjWnsABs0jm
3478,Ghost Of You,5 Seconds of Summer,1,58711,150,1MhXdlCQPnO56T57MfmaRm
3479,Better Man,5 Seconds of Summer,1,59444,146,40rMvmTT9RX4KB0JzMNYZO
3480,On Your Own,Jorja Smith,1,99863,76,2xW7VLFETDGwoW5bgAqCuw
3481,If Walls Could Talk,5 Seconds of Summer,1,64037,133,0nCVLAhIUrLQ34Vw5vTXNP
3482,Moving Along,5 Seconds of Summer,1,66700,124,4UQajPk0EPvbwWTl0fYi4C
3483,Talk Fast,5 Seconds of Summer,1,69154,117,1pMrGc8rMC5qx0zMak8tkd
3484,Lie To Me,5 Seconds of Summer,1,78787,88,3567eNX2L3RkkMkwspncMH
3485,Valentine,5 Seconds of Summer,1,90999,79,19hh7DkfRBrpRGYfKlw7jb
3486,Sunrise In The East,Becky Hill,1,56421,178,4LUnZWnO2E2NDUOhfFJr2E
3487,Cudi Montage,KIDS SEE GHOSTS,1,58936,160,4ffyvGU97UkoUkHEOPzPZT
3488,Kids See Ghosts,KIDS SEE GHOSTS,1,62776,149,0ORk2pZ1dogkyfcdFfFKt8
3489,Tomorrow,Jorja Smith,1,63966,145,5n67c5dWYWpz5pSojdrky2
3490,Don't Watch Me Cry,Jorja Smith,1,67771,131,0FhVdjoCUv2BnMUa44qDQy
3491,Lifeboats - Freestyle,Jorja Smith,1,71809,117,7xwdpDDZiPZN5ex0RwMDKx
3492,Wandering Romance,Jorja Smith,1,76853,108,5SfWsEX7Q8yYZzezM9i4Rq
3493,Come on Then,Lily Allen,1,80501,104,0258EtxjiL6jPMPcqyVSEQ
3494,The One,Jorja Smith,1,82388,101,4wrvOu6SDF2nQLeUKOEUms
3495,Dying in LA,Panic! At The Disco,1,80497,108,18xmRkPWE0sGUzFyNNAAhN
3496,Old Fashioned,Panic! At The Disco,1,75007,120,18ULKfQl3KpCnklAKFfO2t
3497,Carry On,XXXTENTACION,1,70587,135,2yZax79pOrYuyIFVW2cZY2
3498,Chasing Fire - Robin Schulz Remix,Lauv,1,64793,152,7LR2nZOAmgApHf2q3m1WW0
3499,Something Human,Muse,1,73589,116,2kPQFWoXuRz6jNsEo48Inm
3500,I Might Need Security,Chance the Rapper,1,112166,66,3EApebexZ7YqDIqw2EMTDh
3501,Neverland,Not3s,1,53927,179,4R3CHQZhdhIusdzTFRCgGz
3502,Trekked Like Me (feat. AJ Tracey),Not3s,1,58886,167,14mkpgWFzMWXgcYd9n235b
3503,Wasted (feat. Lil Uzi Vert),Juice WRLD,1,61862,155,3obgSF06ki98lYNLNq5vCB
3504,Schedules,Sigrid,1,63434,148,4juSCLATD6AUzP02gCxZo0
3505,Nico And The Niners,Twenty One Pilots,1,85269,93,6ZIuit0z4eQg77F1RGkp0L
3506,"Me, Myself & I (feat. Bryn Christopher)",Blonde,1,54198,182,2SutWozKjO4T9iwWknJAqU
3507,SoulMate,Justin Timberlake,1,62464,153,4YLtrBhzjsI2LT6ybXQHeD
3508,World in Motion,New Order,1,62539,152,47x8g4l24IpCvlcRxv2Jb6
3509,Vindaloo,Fat Les,1,62699,151,6rok0MW3ze4KBEng4ZBAna
3510,Three Lions '98,"Baddiel, Skinner & Lightning Seeds",1,73749,129,0u8e6zmdHLadNfOGTGdqN6
3511,Hallelujah,Years & Years,1,77502,123,6J5ArwJqeLHFKNfHcDP6OG
3512,Karma,Years & Years,1,111977,76,7BZeyb1wPX9t78rWbLWiky
3513,Sorcererz,Gorillaz,1,58254,193,0IJK096XrKQd14Q6fNqW0e
3514,Summer,Calvin Harris,1,58691,192,6YUTL4dYpB9xZO5qExPf05
3515,The End Of Love,Florence + The Machine,1,62780,172,1tpkN6z0Zd3wphAd3DASDX
3516,Hollywood (feat. Snoop Dogg & Jamie Principle),Gorillaz,1,62791,171,0P2Dxoy0mdzM9NlFQoLZbc
3517,Kansas,Gorillaz,1,63292,170,7FJ7lHtpbWvPKe3zCoeAWC
3518,100 Years,Florence + The Machine,1,65312,160,4MuoE4t1lp2Nkg7b2218Dr
3519,Focus,Charli XCX,1,67386,154,56mCGN7S1druROilPGNe3R
3520,Grace,Florence + The Machine,1,73211,134,51oY1LQDglBFja1LJnqZqT
3521,Big God,Florence + The Machine,1,90384,108,1NcXkWB3UwXfMt8izByICb
3522,June,Florence + The Machine,1,92848,106,2yoaXLItTfWNpdFFpdF3Ti
3523,South London Forever,Florence + The Machine,1,100636,95,3MZ7TxuXNnwYXm2KZGap5g
3524,Tranz,Gorillaz,1,118645,81,7jYUaoOfdcYgUvkK8NnFfx
3525,Patricia,Florence + The Machine,1,127981,76,6nmr64Mo4RD3R1pLshvmoG
3526,Both Sides,Yxng Bane,1,58249,179,1Lbi3qzFHQdwKeFHpPM4GO
3527,Roll In Peace (feat. XXXTENTACION),Kodak Black,1,59644,172,40oKW22ZNNkEdZLJTScaQI
3528,Where Did I Go?,Jorja Smith,1,92838,85,0dJwMcIO8o9OymbA5p9OtP
3529,Teenage Fantasy,Jorja Smith,1,102430,71,2xRiBCmtqJA974skOMtJb9
3530,Tip Pon It,Sean Paul,1,68965,157,22wt8Hi61HAuHIrnltZ0wF
3531,Batphone,Arctic Monkeys,1,327156,21,7aiKdAM9WYW3GzWSA9OXIl
3532,Fukk Sleep,A$AP Rocky,1,101652,70,1AqemxWsT0iGg5Lvkm16Bt
3533,Fallin' All In You,Shawn Mendes,1,104688,66,5I8oEqbk2ZBmQfXCrZbUFb
3534,Distorted Records,A$AP Rocky,1,104959,64,57q6BgYP4gN6hPQViCB3um
3535,A$AP Forever REMIX,A$AP Rocky,1,112828,57,3oHkMCVJyOcjg5FhfLc2Rq
3536,The Truth Untold,BTS,1,61221,160,48XfojJC87VKLlUotYV0Gm
