,Track Name,Artist,Count,Streams,Position,spotify_id
3160,Elskovssafari,BasedBoys,1,15965,105,55yQeMQZm0GKU9bX9pKt5i
3161,Augusta,Rasmus Seebach,1,15941,106,359H79ZVYWKkzMXi3tUsuK
3162,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,1,9177,195,5IvdLxVB8gwwcgnEkXSSW2
3163,Yalla,Razi,1,9473,185,3yB9K9H78xXOf8kvXQVKx9
3164,Sounds Good To Me,Hanne Mjøen,1,9560,181,4qIK8dPBwW5buRpoCohT9p
3165,YSIV,Logic,1,9866,175,3irKogkH8P1B1nONmEcHgY
3166,Først Lige Begyndt,Rasmus Seebach,1,21918,65,4KcdcsZ9Z0fJ7Gegtk3lv0
3167,Invited,Marcus & Martinus,1,9996,170,7sFRrykKiZqK6t459JL2l0
3168,Neighbor (feat. Travis Scott),Juicy J,1,10369,161,2iicKPnvOKfbJZJZtuQnjy
3169,Luk Det Ned,Rasmus Seebach,1,15458,113,2BopDMDVAPBxaNGL5cRAgb
3170,Uproar,Lil Wayne,1,11032,145,3wScL5W8H40zzCKN0atfBk
3171,Can't Be Broken,Lil Wayne,1,11417,131,5cGpjfgAvidLy6znwkCxkP
3172,Crazy,Lost Frequencies,1,13545,137,1ZtEZjYb4e0V0gqwRYeeAY
3173,High (feat. Elton John),Young Thug,1,11694,124,7iMDaY1LnASwCk2uUpMtii
3174,Diamond Heart,Alan Walker,1,12932,106,4J4zx8xGJpuGndrVc06KaT
3175,Dedicate,Lil Wayne,1,14956,90,0Y7di9ZCmB6Elad5WISaPc
3176,Andeby,Rasmus Seebach,1,21823,67,73QQUfAJlxpAehGOCykILa
3177,De Værste Bedste År,Rasmus Seebach,1,31217,45,2kr0v9Ol8DhSH341tWm3K7
3178,Det Er En Kold Tid,Kim Larsen,1,14682,124,56eU9VdQFRiXw1gpq8LvPp
3179,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,1,17113,96,6wWaVoUOzLQJHd3bWAUpdZ
3180,Reflection,Louis Samson,1,10341,183,1nZBSrS5aKGAvixwVzWGqS
3181,Vi Er Dem,Kim Larsen,1,14810,121,2hP1N2poKhYsx6Yvx1tyYE
3182,Morph,Twenty One Pilots,1,15045,118,01vv2AjxgP4uUyb8waYO5Y
3183,Waited All Summer,Phlake,1,15172,114,5pMETz8sclcvvNjuSqbyrj
3184,Syd for Køge - 2011 - Remaster,Kim Larsen,1,15555,108,2HSfQsDS0OaAP0lWi7XVAp
3185,Mig og Molly - 2011 - Remaster,Kim Larsen,1,15651,107,3E0BgE3ieiXFcYbaA3kAeF
3186,Blip-Båt - Remastret,Kim Larsen,1,16187,100,4ZzBr0kNVmlQDTyZPNfZO1
3187,"Det Var Inga, Katinka Og Smukke Charley På Sin Harley",Gasolin',1,16208,99,0ostQyfU0tGSJxq0suO0K8
3188,Rabalderstræde,Gasolin',1,16955,97,55xW8Cmahhwz0z9MBRWtXV
