,Track Name,Artist,Count,Streams,Position,spotify_id
143,Ayy Macarena,Tyga,6,1921,43,6LcauUZjF1eXQrgqMUecHX
144,Bellaquita - Remix,Dalex,6,2775,25,1Xnn1TPyr5h0hpRAT4B4EA
145,Hasta Que Salga el Sol,Ozuna,6,1900,41,0dDboLfmRNsTBscy4j3Rnl
146,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,5,1139,16,17Fd6Yb7mSbinKG8LoWfFl
147,Gan-Ga,Bryant Myers,5,1408,49,2J3jxgfp6GWoBsMPIa20oC
148,Una Lady Como Tú,Manuel Turizo,5,2394,3,7MHN1aCFtLXjownGhvEQlF
149,NI BIEN NI MAL,Bad Bunny,5,1149,76,278kSqsZIiYp8p3QjYAqa8
150,Mírame - Remix,Nio Garcia,5,1051,87,53uKGbcMjEc2gIWbfmvpdS
151,Fantasía,Ozuna,5,1986,39,40rXWke6SnXiGkSmaT8ZUr
152,La Boca,Mau y Ricky,5,1104,79,0UQwlF2pRkr1lMN6kNNUj3
153,Cuatro Babys,Maluma,5,1190,11,0JoHqmlqE0W0i9prt6kcHR
154,bad guy,Billie Eilish,4,1125,89,2Fxmhks0bxGSBdJ92vM42m
155,Chained To The Rhythm,Katy Perry,4,1214,18,6520aj0B4FSKGVuKNsOCOi
156,Castle on the Hill,Ed Sheeran,4,1530,8,6PCUP3dWmTjcTtXY02oFdT
157,I'm the One,DJ Khaled,4,1326,18,72Q0FQQo32KJloivv5xge2
158,How Do You Sleep?,Sam Smith,4,1062,64,6b2RcmUt1g9N9mQ3CbjX2Y
159,My Way,Calvin Harris,4,1009,20,1vvNmPOiUuyCbgWmtc6yfm
160,Fantasias - Unplugged,Rauw Alejandro,4,1202,81,6qqd7DGn2VXzxsR4k3Ycun
161,Créeme,KAROL G,3,1103,93,4EKZsrsCKyqr64FBHLc0DU
162,Solo de Mi,Bad Bunny,3,1118,88,4uP3pUP18ennmz0tb3GphR
163,Otra Noche en Miami,Bad Bunny,3,1095,84,4vCAzANUWDE24URV6wQ4ra
164,Velitas,Darell,3,1045,86,7q3NthaBqFI6s0WnAlnIvq
165,No Te Vayas,Camilo,3,1079,69,4k9byIhs9ppbYWE22waJMB
166,Look At Her Now,Selena Gomez,3,2630,20,4yI3HpbSFSgFZtJP2kDe5m
167,Memories,Maroon 5,3,1234,74,2b8fOow8UzyDFAE27YhOZM
168,El Boom,Chimbala,3,1105,83,3BxOjXAYuwfVWyRjlhDSWw
169,Chicharrón,Guaynaa,3,1336,42,5UVa8Qqb9L1dVxl3jKQ5J1
170,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3,1115,89,0RiRZpuVRbi7oqRdSMwhQY
171,Destino,Greeicy,3,1087,80,041Kcvnw8nOdq8xiRibPTG
172,Easy - Remix,Jhay Cortez,3,1040,99,0Cn8NxJZz7zUlsaA3rXoIU
173,Chillax (feat. Ky-Mani Marley),Farruko,3,1011,24,1lxswgIpzV6HhENRvkflES
174,Ahora Me Llama,KAROL G,2,1143,19,61HHDBLqF3AmSvLfHKNGd2
175,Lights Up,Harry Styles,2,1282,48,2plLJpUcYPFrl1sW2pMG63
176,Sign of the Times,Harry Styles,2,1117,23,5Ohxk2dO5COHF1krpoPigN
177,Adore You,Harry Styles,2,1642,50,3jjujdWJ72nww5eGnfs2E7
178,Malibu,Miley Cyrus,2,1061,27,2habSXqcJGExM6JJyskY7O
179,Circles,Post Malone,2,1074,97,21jGcNKet2qwijlDFuPiPb
180,Me Llamas (feat. Maluma) - Remix,Piso 21,2,1044,31,5hEM0JchdVzQ5PwvSfITeX
181,Sigues Con El,Dimelo Flow,2,3887,11,7sQKy5vlPQllr0k9IjYJv3
182,Chantaje,Shakira,2,1179,21,1WniHvhq9zTkny0WvGXX8o
183,Infeliz,Arcangel,2,3030,19,4z6wo6PJG4Fve45OXK6D9m
184,Don't Let Me Down,The Chainsmokers,2,1036,17,0QsvXIfqM0zZoerQfsI9lm
185,7 rings,Ariana Grande,2,1093,96,6ocbgoVGwYJhOv1GgI9NsF
186,Imaginaste - Remix,Jhay Cortez,2,1046,96,56BAJvpaWgvr6C4wmc37iU
187,Bonita,Juanes,2,1079,86,0gcOnIUKIG6JF56iFUfE0p
188,Perreo en La Luna,Rich Music LTD,2,1335,64,0RDgqtvOHLwcI6yz9bjsZV
189,Quizás,Rich Music LTD,2,1934,26,4AjWbAwRpxk2worpjNH5CS
190,Chicken Noodle Soup (feat. Becky G),j-hope,1,1371,44,6wyr4ReB05D9sJB1Rsmcqo
191,SUGA's Interlude,Halsey,1,1467,63,5a0nHa7F4S9hb0Zi0zLS8w
192,MELÓN VINO,WOS,1,1008,69,5uHAzGa4d9j35DEbhUwGhi
193,Mejores Amigos,Yera,1,1225,55,7tQ24skemknA6PPh6gwFi1
194,Cold,Maroon 5,1,1015,33,5NNlUMcOEOdoOIwwaWXv0k
195,Perfect,Ed Sheeran,1,1232,20,0tgVpDi06FyKpA1z0VMD4v
196,Oye,TINI,1,1073,70,09nSCeCs6eYfAIJVfye1CE
197,24K Magic,Bruno Mars,1,1001,21,6b8Be6ljOzmkOmFslEb23P
198,Pecador,Residente,1,1118,74,4DFq874qg7Pun7xYOAVJqL
199,everything i wanted,Billie Eilish,1,1071,88,3ZCTVFBt2Brf31RLEnCkWJ
200,COMO UN BEBÉ,J Balvin,1,1016,105,7knLcYCOSaURD0d7HUULFM
201,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,1,1187,49,3NkJNL3WqO1Lqc3uNDxvCN
202,Te Quiero Pa´Mi,Don Omar,1,1028,36,3BY2mafsbsoKGqS380Xnuz
203,Nunca Es Suficiente,Los Angeles Azules,1,1013,97,63USmok1OioBzKuWGW9wAg
