Position,Track Name,Artist,Streams,date,region,spotify_id
163,Oncemil,Abel Pintos,22295,2019-05-03,ar,3y5ahYM9zwyOCt3mieZ0PZ
164,Personalmente,Las Pelotas,22240,2019-05-03,ar,7q7XFO9av9VpNJSXKJwJxD
165,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,22137,2019-05-03,ar,6u7jPi22kF8CTQ3rb9DHE7
166,Luz Apaga,Ozuna,22113,2019-05-03,ar,5Q3e16qE1RE5oilN3ukasm
167,Consejo de Amor,TINI,22064,2019-05-03,ar,3za3hxbolwmy9AeUpWzuRE
168,Medellín (with Maluma),Madonna,22064,2019-05-03,ar,3tTV4DYlhkiXRNiiXwIAPf
169,Con Calma - Remix,Daddy Yankee,21957,2019-05-03,ar,4au7FRcgZzChASRYu279xH
170,Me Gusta,Ciro y los Persas,21945,2019-05-03,ar,3pMo77B4r1NwwIK78lO4xf
171,Thinking out Loud,Ed Sheeran,21904,2019-05-03,ar,1Slwb6dOYkBlWal1PGtnNg
172,Don't Stop Me Now - 2011 Mix,Queen,21759,2019-05-03,ar,5T8EDUDqKcs6OSOwEsfqG7
173,La player (Bandolera),Zion & Lennox,21694,2019-05-03,ar,0VKkyBKCXyR99navhVRqcP
174,Tan Solo,Los Piojos,21683,2019-05-03,ar,6vNaGz1KH44XJ9zRyCE81I
175,Bola Rebola,Tropkillaz,21651,2019-05-03,ar,1OUPXna2MCgAt3VNmXJBtg
176,Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,21583,2019-05-03,ar,2qBirMakpTdz9ymxrZEyzg
177,Rayando El Sol (feat. Pablo Alborán),Maná,21523,2019-05-03,ar,3uKdu7AtigAJ8GgTu0yJTe
178,Una Nueva Noche Fría,Callejeros,21445,2019-05-03,ar,39KmBOGkD1ztCbVeo2uspA
179,Duro y Suave,Leslie Grace,21439,2019-05-03,ar,31M5m42C3EGlbydf9XB5to
180,Wow.,Post Malone,21357,2019-05-03,ar,6MWtB6iiXyIwun0YzU6DFP
181,Dancing With A Stranger (with Normani),Sam Smith,21236,2019-05-03,ar,6Qs4SXO9dwPj5GKvVOv8Ki
182,Juntos a la Par,Pappo,21182,2019-05-03,ar,1Ig4pCPanhzXl7C86MmBUc
183,Do I Wanna Know?,Arctic Monkeys,20936,2019-05-03,ar,3rq5w4bQGigXOfdN30ATJt
184,Serpiente Veneno (feat. Ele A El Dominio),Kidd Keo,20929,2019-05-03,ar,63c2jMnVyf8dtnbaQK910d
185,Mi Cama - Remix,KAROL G,20928,2019-05-03,ar,5yV2jwp1AZnulVkiWEorq7
186,Robarte un Beso,Carlos Vives,20908,2019-05-03,ar,0JcNysfWVWaMS7R6vzGB2k
187,Linaje,Ysy A,20890,2019-05-03,ar,4ORf8PPjeY3YYjVDDYn9ke
188,La Razón Que Te Demora,La Renga,20744,2019-05-03,ar,0ljyHIWERJQp8O5LKgKm1l
189,Criminal,Natti Natasha,20730,2019-05-03,ar,6Za3190Sbw39BBC77WSS1C
190,Promises (with Sam Smith),Calvin Harris,20721,2019-05-03,ar,5N5k9nd479b1xpDZ4usjrg
191,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,20714,2019-05-03,ar,5r8mGKhCDIVWb3AG4hm0l0
192,La Playa,Myke Towers,20526,2019-05-03,ar,0jeS8PyyIRAG0A3t5DtL71
193,Bye,Ecko,20506,2019-05-03,ar,0TYtHWzASro5sMrV1UvpUC
194,OUKE,CA7RIEL,20496,2019-05-03,ar,6WsrPT9yw9gZyZn5ok3E0K
195,Besos En Guerra,Morat,20473,2019-05-03,ar,1mlGScrDQqHqmhdIqE8MmA
196,De Ellos Aprendí,David Rees,20369,2019-05-03,ar,3VaFDR5FuLjgZxJ36hV9LN
197,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,20291,2019-05-03,ar,4QtiVmuA88tPQiCOHZuQ5b
198,No Me Llores,Duki,20208,2019-05-03,ar,4DNzemGNnckcJSr8DVk8Uj
199,PURPURA,WOS,20144,2019-05-03,ar,0RHazYjaRGLIYPvn6mtRWY
200,She Don't Give a Fo,Duki,20142,2019-05-03,ar,6S3yaMAF7jB4GfjXdYLsD0
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tal Vez,Paulo Londra,314437,2019-05-10,ar,46lvmzK8wxAy66tjzXXSh0
2,Otro Trago,Sech,283294,2019-05-10,ar,1Ej96GIBCTvgH7tNX1r3qr
3,Pa Mí - Remix,Dalex,277592,2019-05-10,ar,7g8YaUQABMal0zWe7a2ijz
4,Con Altura,ROSALÍA,218871,2019-05-10,ar,2qG5sZ7Si6sdK74qLxedYM
5,"Tumbando el Club (feat. C.R.O., Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Neo Pistea,213278,2019-05-10,ar,0OWcpVA83HI8Pb5DybDuoX
6,Con Calma,Daddy Yankee,205477,2019-05-10,ar,5w9c2J52mkdntKOmRLeM2m
7,La Cobra,j mena,176129,2019-05-10,ar,7tAFzqPUa2G7EziujIPP7K
8,Verte Ir,DJ Luian,174584,2019-05-10,ar,4lzxJ4jCuFDXXGkE1LmpKR
9,Te Robaré,Nicky Jam,164723,2019-05-10,ar,6v0lAdFF4haL8xjBIUjtOw
10,Secreto,Anuel AA,163367,2019-05-10,ar,5W83ErFkO3aKAIS1WMi6u0
11,HP,Maluma,154876,2019-05-10,ar,31UjYv5vLsDkzchJOtUMtW
12,Calma - Remix,Pedro Capó,140716,2019-05-10,ar,5iwz1NiezX7WWjnCgY5TH4
13,Adan y Eva,Paulo Londra,137991,2019-05-10,ar,6FyRXC8tJUh863JCkyWqtk
14,Que Mas Pues - Remix,Justin Quiles,127385,2019-05-10,ar,7fODjB7BrQTGqh0hogW6XD
15,Desconocidos,Mau y Ricky,123874,2019-05-10,ar,56f5qnyAlZdlz8wrUDA50h
16,Un Año,Sebastian Yatra,121388,2019-05-10,ar,2vrpcQNg6itmgVZWsNjWe0
17,22,TINI,120613,2019-05-10,ar,07L6tEZIfCX3GZAWCpGj0e
18,I Don't Care (with Justin Bieber),Ed Sheeran,112155,2019-05-10,ar,3HVWdVOQ0ZA45FuZGSfvns
19,Amanece,Anuel AA,109576,2019-05-10,ar,1LiN0Z98FkR1t0m8KmLcAH
20,Cristina,Sebastian Yatra,108599,2019-05-10,ar,703iVQrfbQsXt7Uzgy1h8k
21,Te Vi,Piso 21,104462,2019-05-10,ar,059bcIhyc2SBwm6sw2AZzd
22,Sin Culpa (feat. DrefQuila),Duki,99890,2019-05-10,ar,3dLiBBKbeUIhzGNeuo5JGS
23,Contra La Pared,Sean Paul,98660,2019-05-10,ar,37eGbhE1xVFSvcKkqGb6i1
24,Forever Alone,Paulo Londra,93889,2019-05-10,ar,5NPzbTzFxIQPaheZuPhn4f
25,Soltera - Remix,Lunay,89874,2019-05-10,ar,1c0hsvHLELX6y8qymnpLKL
26,Baila Baila Baila - Remix,Ozuna,89271,2019-05-10,ar,7mWFF4gPADjTQjC97CgFVt
27,bad guy,Billie Eilish,88877,2019-05-10,ar,2Fxmhks0bxGSBdJ92vM42m
28,Reggaeton,J Balvin,86188,2019-05-10,ar,2D3z17LBMJ2HEHeBFFjTLi
29,Si Se Da,Myke Towers,85816,2019-05-10,ar,5KbBGUpIZd6gVFUU8tqYiQ
30,Esclavo de Tus Besos,Manuel Turizo,83321,2019-05-10,ar,3g4UyIcQwutiG0TfW32GnX
31,Baila Baila Baila,Ozuna,81517,2019-05-10,ar,7uH27oIt4a6cIFCA8ZPcyG
32,Eclipse,Lit Killah,80435,2019-05-10,ar,6ANR2ylLSFSYcycw8JUnvi
33,Créeme,KAROL G,76041,2019-05-10,ar,4EKZsrsCKyqr64FBHLc0DU
