Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,4197,2017-01-27,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,2503,2017-01-27,ni,7qiZfU4dY1lWllzX7mPBI3
3,Reggaetón Lento (Bailemos),CNCO,2092,2017-01-27,ni,3AEZUABDXNtecAOSC1qTfo
4,Chantaje (feat. Maluma),Shakira,1958,2017-01-27,ni,6mICuAdrwEjh6Y6lroV2Kg
5,Safari,J Balvin,1929,2017-01-27,ni,6rQSrBHf7HlZjtcMZ4S4bO
6,Otra vez (feat. J Balvin),Zion & Lennox,1789,2017-01-27,ni,3QwBODjSEzelZyVjxPOHdq
7,Let Me Love You,DJ Snake,1754,2017-01-27,ni,4pdPtRcBmOSQDlJ3Fk945m
8,Closer (feat. Halsey),The Chainsmokers,1690,2017-01-27,ni,7BKLCZ1jbUBVqRi2FVlTVw
9,El Amante,Nicky Jam,1289,2017-01-27,ni,3umS4y3uQDkqekNjVpiRUs
10,Don't Wanna Know,Maroon 5,1286,2017-01-27,ni,5MFzQMkrl1FOOng9tq6R9r
11,Paris,The Chainsmokers,1281,2017-01-27,ni,72jbDTw1piOOj770jWNeaG
12,One Dance,Drake,1240,2017-01-27,ni,1xznGGDReH1oQq0xzbwXa3
13,Starboy,The Weeknd,1218,2017-01-27,ni,5aAx2yezTd8zXrkmtKl66Z
14,Vente Pa' Ca,Ricky Martin,1209,2017-01-27,ni,7DM4BPaS7uofFul3ywMe46
15,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1104,2017-01-27,ni,5knuzwU65gJK7IF5yJsuaW
16,In the Name of Love,Martin Garrix,1099,2017-01-27,ni,04DwTuZ2VBdJCCC5TROn7L
17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1093,2017-01-27,ni,3NdDpSvN911VPGivFlV5d0
