Position,Track Name,Artist,Streams,date,region,spotify_id
15,"How Far I'll Go - From ""Moana""",Alessia Cara,1259,2017-01-20,mt,5hYTyyh2odQKphUbMqc5gN
16,Now and Later,Sage The Gemini,1254,2017-01-20,mt,43jBqV3j3Xi1g6wO0bhIMd
17,All Night,The Vamps,1229,2017-01-20,mt,1yNyoWWWikbLhwIGWjZuDW
18,Fake Love,Drake,1088,2017-01-20,mt,343YBumqHu19cGoGARUTsd
19,Shed a Light,Robin Schulz,1082,2017-01-20,mt,1cG0umU5TKStygKsPFZ9pY
20,Let Me Love You,DJ Snake,1052,2017-01-20,mt,4pdPtRcBmOSQDlJ3Fk945m
21,Black Beatles,Rae Sremmurd,1018,2017-01-20,mt,6fujklziTHa8uoM5OQSfIo
22,24K Magic,Bruno Mars,1003,2017-01-20,mt,6b8Be6ljOzmkOmFslEb23P
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,4717,2017-01-27,mt,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,2713,2017-01-27,mt,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,2587,2017-01-27,mt,72jbDTw1piOOj770jWNeaG
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2451,2017-01-27,mt,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2024,2017-01-27,mt,5knuzwU65gJK7IF5yJsuaW
6,I Feel It Coming,The Weeknd,1747,2017-01-27,mt,5GXAXm5YOmYT0kL5jHvYBt
7,Starboy,The Weeknd,1721,2017-01-27,mt,5aAx2yezTd8zXrkmtKl66Z
8,Call On Me - Ryan Riback Extended Remix,Starley,1605,2017-01-27,mt,78rIJddV4X0HkNAInEcYde
9,Just Hold On,Steve Aoki,1511,2017-01-27,mt,3EmmCZoqpWOTY1g2GBwJoR
