Position,Track Name,Artist,Streams,date,region,spotify_id
60,Heathens,Twenty One Pilots,33530,2017-01-06,au,6i0V12jOa3mr6uu4WYhUBr
61,Final Song,MØ,32823,2017-01-06,au,4qqArAiTPueDxIp7cf87h7
62,Drinkee,Sofi Tukker,32678,2017-01-06,au,3REzEumDuXBpQH45WEHAr6
63,After the Afterparty (feat. Lil Yachty),Charli XCX,32676,2017-01-06,au,0y8Wf6ltWpGCpgqVa21QNX
64,Treat You Better,Shawn Mendes,32416,2017-01-06,au,4Hf7WnR761jpxPr5D46Bcd
65,Oh Lord,MiC LOWRY,30998,2017-01-06,au,1sTUEdVO85YU8Ymk2jeAls
66,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,30394,2017-01-06,au,17Fd6Yb7mSbinKG8LoWfFl
67,Broccoli (feat. Lil Yachty),DRAM,30317,2017-01-06,au,7yyRTcZmCiyzzJlNzGC9Ol
68,Sorry,Justin Bieber,29909,2017-01-06,au,69bp2EbF7Q2rqc5N3ylezZ
69,Dancing On My Own,Calum Scott,29605,2017-01-06,au,02WacdrRpm4zlP8H7X6bnQ
70,Human,Rag'n'Bone Man,28497,2017-01-06,au,58zsLZPvfflaiIbNWoA22O
71,Shout Out to My Ex,Little Mix,28164,2017-01-06,au,0YHUITU3w6ws1v8ehT264g
72,Thinking out Loud,Ed Sheeran,27796,2017-01-06,au,1Slwb6dOYkBlWal1PGtnNg
73,Party Monster,The Weeknd,27784,2017-01-06,au,4F7A0DXBrmUAkp32uenhZt
74,Caroline,Aminé,27631,2017-01-06,au,5GFDrUTLGJix84sNhjCG0g
75,On Hold,The xx,27459,2017-01-06,au,5CPqOpKSk0QcJ3dGdaWcRB
76,Please Don't Go,Joel Adams,27148,2017-01-06,au,3cNjgVBKTJ1SvKhunrCdVy
77,Too Good,Drake,26548,2017-01-06,au,11KJSRSgaDxqydKYiD2Jew
78,Don't Leave,Snakehips,26317,2017-01-06,au,0Zx8khUcEfCFK2AEoIhC92
79,On Your Side,The Veronicas,26186,2017-01-06,au,7mTgsbq7n8jgnwLswpgugB
80,Lean On (feat. MØ & DJ Snake),Major Lazer,26178,2017-01-06,au,4WjH9Bzt3kx7z8kl0awxh4
81,Photograph,Ed Sheeran,26103,2017-01-06,au,6fxVffaTuwjgEk5h9QyRjy
82,Love Yourself,Justin Bieber,25517,2017-01-06,au,3hB5DgAiMAQ4DzYbsMq1IT
83,Adore,Amy Shark,25362,2017-01-06,au,1rPCgtaIF0CyKRgAwhtpbF
84,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,25239,2017-01-06,au,4tCtwWceOPWzenK2HAIJSb
85,We Don't Talk Anymore,Charlie Puth,25186,2017-01-06,au,68EMU2RD1ECNeOeJ5qAXCV
86,Panda,Desiigner,24931,2017-01-06,au,5OOkp4U9P9oL23maHFHL1h
87,Let Me Hold You (Turn Me On),Dante Klein,24814,2017-01-06,au,0lmdsH1MIoLsMymnNpd6HU
88,1955,Hilltop Hoods,24211,2017-01-06,au,6oSmp7qnvAxUXeUKhl67a6
89,Deja Vu,J. Cole,23740,2017-01-06,au,6I6NX6tjGsxFAsIfGzY9lJ
90,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,23213,2017-01-06,au,1lItf5ZXJc1by9SbPeljFd
91,Fast Car,Jonas Blue,23145,2017-01-06,au,6OZh916QF8XNunWaP97WEZ
92,Say Something Loving,The xx,22624,2017-01-06,au,728zbo72kOoYdGR3AhNsyF
93,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,22549,2017-01-06,au,0L7loeTIg6akW84aEQZpCT
94,Riptide,Vance Joy,22505,2017-01-06,au,7yq4Qj7cqayVTp3FF9CWbm
95,Cool Girl,Tove Lo,22413,2017-01-06,au,5dKyZWlgjWw1oJgLa4GCZD
96,Into You,Ariana Grande,22271,2017-01-06,au,7yHEDfrJNd0zWOfXwydNH0
97,"i hate u, i love u (feat. olivia o'brien)",gnash,22247,2017-01-06,au,7vRriwrloYVaoAe3a9wJHe
98,Sunset Lover,Petit Biscuit,22233,2017-01-06,au,0hNduWmlWmEmuwEFcYvRu1
99,Hymn for the Weekend - Seeb Remix,Coldplay,22194,2017-01-06,au,1OAiWI2oPmglaOiv9fdioU
100,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,22079,2017-01-06,au,4dASQiO1Eoo3RJvt74FtXB
101,7 Years,Lukas Graham,22028,2017-01-06,au,7129iqBafaphfc3WPCGC0L
102,Rooting For You,London Grammar,21943,2017-01-06,au,2nAAFnHiXRdWhsqoeqhhnr
103,Mr. Brightside,The Killers,21293,2017-01-06,au,7oK9VyNzrYvRFo7nQEYkWN
104,Work,Rihanna,21112,2017-01-06,au,14WWzenpaEgQZlqPq2nk4v
105,What Do You Mean?,Justin Bieber,21089,2017-01-06,au,3pzjHKrQSvXGHQ98dx18HI
106,Needed Me,Rihanna,20995,2017-01-06,au,1Tt4sE4pXi57mTD1GCzsqm
107,Faded,Alan Walker,20990,2017-01-06,au,7gHs73wELdeycvS48JfIos
108,Send My Love (To Your New Lover),Adele,20843,2017-01-06,au,4BHzQ9C00ceJxfG16AlNWb
109,Ignition - Remix,R. Kelly,20435,2017-01-06,au,5dNfHmqgr128gMY2tc5CeJ
110,Controlla,Drake,20151,2017-01-06,au,6F609ICg9Spjrw1epsAnpa
111,Stressed Out,Twenty One Pilots,20022,2017-01-06,au,3CRDbSIZ4r5MsZ0YwxuEkn
112,All Time Low,Jon Bellion,19893,2017-01-06,au,1CnPYaKxTVb4LWOtiGOm0m
113,It's Gotta Be You,Isaiah,19720,2017-01-06,au,6cAKeFFYW2aClZSUyvqAEW
114,Move Your Body - Single Mix,Sia,19698,2017-01-06,au,7ynCQo1KpBOyTdTdAnjSLZ
115,Bounce Back,Big Sean,19652,2017-01-06,au,0SGkqnVQo9KPytSri1H6cF
116,Versace on the Floor,Bruno Mars,19533,2017-01-06,au,0kN8xEmgMW9mh7UmDYHlJP
117,In My Blood,The Veronicas,19475,2017-01-06,au,0x4GHzCjY5MGQ960CHnVHz
118,You Don't Know Me - Radio Edit,Jax Jones,19148,2017-01-06,au,00lNx0OcTJrS3MKHcB80HY
119,Ride,Twenty One Pilots,18994,2017-01-06,au,2Z8WuEywRWYTKe1NybPQEW
120,Sex,Cheat Codes,18943,2017-01-06,au,5DA77EqppDmCTWGovd4oTP
121,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,18885,2017-01-06,au,5Z01UMMf7V1o0MzF86s6WJ
122,Rockin’,The Weeknd,18717,2017-01-06,au,36YCdzT57us0LhDmCYtrNE
123,Cake By The Ocean,DNCE,18681,2017-01-06,au,2aFiaMXmWsM3Vj72F9ksBl
124,Gold,Kiiara,18532,2017-01-06,au,6WhzFzROw3aq3rPWjgYlxr
125,The A Team,Ed Sheeran,18460,2017-01-06,au,1VdZ0vKfR5jneCmWIUAMxK
126,Chantaje (feat. Maluma),Shakira,18120,2017-01-06,au,6mICuAdrwEjh6Y6lroV2Kg
127,Lay It All on Me,Rudimental,18085,2017-01-06,au,0vbbhcA6okLzvsy6WSTlLg
128,Roses,The Chainsmokers,18017,2017-01-06,au,6O6M7pJLABmfBRoGZMu76Y
129,Alarm,Anne-Marie,17996,2017-01-06,au,0OwX5aROoW1Iip8FV51Efg
130,Lush Life,Zara Larsson,17912,2017-01-06,au,1rIKgCH4H52lrvDcz50hS8
131,Hello,Adele,17749,2017-01-06,au,4sPmO7WMQUAf45kwMOtONw
132,Sidewalks,The Weeknd,17613,2017-01-06,au,4h90qkbnW1Qq6pBhoPvwko
133,Should've Been Me,Naughty Boy,17487,2017-01-06,au,4aiLpwwZw5Ek9KkBMnt6Zu
134,Uptown Funk,Mark Ronson,17466,2017-01-06,au,32OlwWuMpZ6b0aN2RZOeMS
135,Stronger,Kanye West,17445,2017-01-06,au,6C7RJEIUDqKkJRZVWdkfkH
136,All Night (feat. Knox Fortune),Chance the Rapper,17427,2017-01-06,au,60xaS8mYBKUW4VQQ666N0T
137,Ni**as In Paris,JAY-Z,17384,2017-01-06,au,2KpCpk6HjXXLb7nnXoXA5O
138,Gold Digger,Kanye West,17302,2017-01-06,au,5XJJdNPkwmbUwE79gv0NxK
139,Lot to Learn,Luke Christopher,17181,2017-01-06,au,3TRFq09DUgYj1mug6RRqJW
140,Hear Me Now,Alok,17162,2017-01-06,au,1a5Yu5L18qNxVhXx38njON
141,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,17064,2017-01-06,au,0tICYNayWWhH9GPeFrfjfD
142,Working For It - Bonus Track,ZHU,16977,2017-01-06,au,2HJQcyUpmUuvzS5vBAICIc
143,All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,16791,2017-01-06,au,6TaqooOXAEcijL6G1AWS2K
144,Georgia,Vance Joy,16667,2017-01-06,au,6Fha6tXHkL3r9m9nNqQG8p
145,King Kunta,Kendrick Lamar,16433,2017-01-06,au,0N3W5peJUQtI4eyR6GJT5O
146,Messiah,M-Phazes,16422,2017-01-06,au,5yRDS8rO2nWrNxcVcsCPl4
147,Middle,DJ Snake,16359,2017-01-06,au,4OZEu0Vwq0RB2LAq14v99n
148,Ain't My Fault,Zara Larsson,16222,2017-01-06,au,0ADG9OgdVTL7fgREP75BrZ
149,Tenerife Sea,Ed Sheeran,16134,2017-01-06,au,6vSwxzO2Qf4BinHSXRwZJe
150,Weak,AJR,16049,2017-01-06,au,3E2Zh20GDCR9B1EYjfXWyv
151,Hotline Bling,Drake,15998,2017-01-06,au,2FBUoWkIuQXwayw2RNo5l6
152,Solo Dance,Martin Jensen,15984,2017-01-06,au,6HUnnBwYZqcED1eQztxMBN
153,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,15979,2017-01-06,au,3B7udSGy2PfgoCniMSb523
154,PILLOWTALK,ZAYN,15976,2017-01-06,au,0PDUDa38GO8lMxLCRc4lL1
155,Can't Feel My Face,The Weeknd,15840,2017-01-06,au,6RsWqX8zABZLhZydXxEFOm
156,Places,Martin Solveig,15660,2017-01-06,au,6O85MfGECKBqAK2MgSbCaj
157,Famous,Kanye West,15614,2017-01-06,au,19a3JfW8BQwqHWUMbcqSx8
158,Immortal,J. Cole,15401,2017-01-06,au,6AGON2BGdPmPMJGiiNuuwl
159,Blow Your Mind (Mwah),Dua Lipa,15318,2017-01-06,au,2eAAEa8pxKF7My0EO4rFgR
160,No Role Modelz,J. Cole,15306,2017-01-06,au,62vpWI1CHwFy7tMIcSStl8
161,Pumped Up Kicks,Foster The People,15296,2017-01-06,au,7w87IxuO7BDcJ3YUqCyMTT
162,Sun Models,ODESZA,15245,2017-01-06,au,7avUYFehb1GscgCncPdBDK
163,Don't,Ed Sheeran,15229,2017-01-06,au,6gTJaPuj8DT8RjuDJyBgzP
164,Alone,Alan Walker,15207,2017-01-06,au,0JiVRyTJcJnmlwCZ854K4p
165,Light,San Holo,15185,2017-01-06,au,7zTx8ePYAmPFQuxP3xlXZn
166,Stitches,Shawn Mendes,15074,2017-01-06,au,1WP1r7fuvRqZRnUaTi2I1Q
167,I Got You,Bebe Rexha,14984,2017-01-06,au,1FUViuNSldssMIawrOXF2i
168,Fading,Vallis Alps,14945,2017-01-06,au,2fKEunM0KZVpVLwlvmVlDZ
169,Party,Chris Brown,14884,2017-01-06,au,05Z7jet4VDNVgNQWcYHnrk
170,Play That Song,Train,14883,2017-01-06,au,77hjM9bMmgfTGJXv14UFmi
171,How Far I'll Go,Auli'i Cravalho,14768,2017-01-06,au,6mb6lVLNrcUgLnEN8QnDJd
172,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,14760,2017-01-06,au,0v9Wz8o0BT8DU38R4ddjeH
173,V. 3005,Childish Gambino,14658,2017-01-06,au,7wwifjNAb172PtDpKK3CoR
174,Wolfie (feat. Julia Stone),Golden Features,14622,2017-01-06,au,6rKmnzp0nUpHvjLK7FXSnP
175,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,14620,2017-01-06,au,3bidbhpOYeV4knp8AIu8Xn
176,The Greatest,Sia,14585,2017-01-06,au,6bLopGnirdrilrpdVB6Um1
177,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,14570,2017-01-06,au,5uDASfU19gDxSjW8cnCaBp
178,This Town,Niall Horan,14553,2017-01-06,au,5nA67Y0XX9JipZwYxX7Gl7
179,Anywhere,Dillon Francis,14389,2017-01-06,au,0fMMtO0pOYIGWfbJmrqfVJ
180,Throw Myself A Party,Cashmere Cat,14378,2017-01-06,au,5n6PtOoeGzBeKFDeGNozLd
181,Titanium (feat. Sia),David Guetta,14282,2017-01-06,au,2dOTkLZFbpNXrhc24CnTFd
182,Not Above Love,AlunaGeorge,14171,2017-01-06,au,7k6Wf3BN6m2kCGIAfouMwP
183,Crazy,Gnarls Barkley,14171,2017-01-06,au,1vxw6aYJls2oq3gW0DujAo
184,You Were Right,RÜFÜS DU SOL,14155,2017-01-06,au,77lqbary6vt1DSc1MBN6sx
185,Hey Ya!,OutKast,14043,2017-01-06,au,2PpruBYCo4H7WOBJ7Q2EwM
186,Seven Nation Army,The White Stripes,13960,2017-01-06,au,1jNOi6m3Hn8nLEeHCp5Msr
187,Be Right There,Diplo,13922,2017-01-06,au,1Wuwsq0BK4Abd7gRitOhXl
188,pick up the phone,Young Thug,13882,2017-01-06,au,20dP2DaMHIAmwWAbp7peSr
189,My House,Flo Rida,13802,2017-01-06,au,6Knv6wdA0luoMUuuoYi2i1
190,Feel Me,Tyga,13545,2017-01-06,au,2Cth0v1xri32oZ799rL3rl
191,Give Me Love,Ed Sheeran,13534,2017-01-06,au,0SuG9kyzGRpDqrCWtgD6Lq
192,No Scrubs,TLC,13469,2017-01-06,au,1KGi9sZVMeszgZOWivFpxs
193,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,13465,2017-01-06,au,40UroIGvsMPLPBYwH8rMNA
194,"Me, Myself & I",G-Eazy,13433,2017-01-06,au,40YcuQysJ0KlGQTeGUosTC
195,Hoops,The Rubens,13353,2017-01-06,au,4yUZPM6OfAY1KJik9rsveW
196,Wavy (feat. Joe Moses),Ty Dolla $ign,13255,2017-01-06,au,70mIuBKGTPrWMwWq9D4F56
197,Let Her Go,Passenger,13232,2017-01-06,au,2jyjhRf6DVbMPU5zxagN2h
198,Wonderwall - Remastered,Oasis,13222,2017-01-06,au,5qqabIl2vWzo9ApSC317sa
199,Let It Go,James Bay,13174,2017-01-06,au,13HVjjWUZFaWilh2QUJKsP
200,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,13006,2017-01-06,au,7vFoFDWqTX0mHzLfrF1Cfy
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,239733,2017-01-13,au,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,176734,2017-01-13,au,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,140788,2017-01-13,au,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,137024,2017-01-13,au,5aAx2yezTd8zXrkmtKl66Z
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,134715,2017-01-13,au,5knuzwU65gJK7IF5yJsuaW
6,I Feel It Coming,The Weeknd,124356,2017-01-13,au,5GXAXm5YOmYT0kL5jHvYBt
7,Closer (feat. Halsey),The Chainsmokers,119701,2017-01-13,au,7BKLCZ1jbUBVqRi2FVlTVw
8,Call On Me - Ryan Riback Extended Remix,Starley,115651,2017-01-13,au,78rIJddV4X0HkNAInEcYde
9,Say You Won't Let Go,James Arthur,106230,2017-01-13,au,5uCax9HTNlzGybIStD3vDh
10,Sexual,NEIKED,104084,2017-01-13,au,3AsAuGTaDQzavZZThyYlop
11,Love$ick,Mura Masa,103098,2017-01-13,au,5v9N8Rx3QsFvr50cxyQcA3
12,Stranger,Peking Duk,101824,2017-01-13,au,0jVPEBd4wyHupkTHwzQRyc
13,Don't Wanna Know,Maroon 5,101323,2017-01-13,au,5MFzQMkrl1FOOng9tq6R9r
14,Chameleon,PNAU,98766,2017-01-13,au,4rex1k9pBVFaIVKBBssZzi
15,I Would Like,Zara Larsson,96839,2017-01-13,au,4Q4jmPHwu0wrJvqrld0FQ6
16,24K Magic,Bruno Mars,91892,2017-01-13,au,6b8Be6ljOzmkOmFslEb23P
17,Fresh Eyes,Andy Grammer,91812,2017-01-13,au,4nMlau89VAjmV7agkl7OY3
18,Just Hold On,Steve Aoki,90585,2017-01-13,au,3EmmCZoqpWOTY1g2GBwJoR
19,The Mack,Nevada,90071,2017-01-13,au,7aV2mflaASUmGhCErm7kBO
20,Scars To Your Beautiful,Alessia Cara,88321,2017-01-13,au,0prNGof3XqfTvNDxHonvdK
21,Fake Love,Drake,86718,2017-01-13,au,343YBumqHu19cGoGARUTsd
