Position,Track Name,Artist,Streams,date,region,spotify_id
61,Little Do You Know,Alex & Sierra,18797,2017-01-06,dk,1almCHdsfikRPfVB9VrEdT
62,Lighthouse - Andrelli Remix,Hearts & Colors,18129,2017-01-06,dk,04CttTezSnv71USiiG9mIo
63,Afdeling A,Danni,17732,2017-01-06,dk,7LPL4upF0pcso4mdHjVin8
64,The Greatest (feat. Kendrick Lamar),Sia,17622,2017-01-06,dk,7xHWNBFm6ObGEQPaUxHuKO
65,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,17591,2017-01-06,dk,6JV2JOEocMgcZxYSZelKcc
66,Slap Af,Carmon,17577,2017-01-06,dk,3JqIijM4ErYp3vtKjQ9Eoc
67,Hva' Så,Gulddreng,16972,2017-01-06,dk,5apWCP1md7rzD6RTqnOluT
68,Love$ick,Mura Masa,16629,2017-01-06,dk,5v9N8Rx3QsFvr50cxyQcA3
69,Fresh Eyes,Andy Grammer,16496,2017-01-06,dk,4nMlau89VAjmV7agkl7OY3
70,FuckBoi,Ude Af Kontrol,16159,2017-01-06,dk,7HbMB7Ul0UBK7M8G5I9A0y
71,Længe Siden,TopGunn,16054,2017-01-06,dk,64PfnGAkmThzFuZAaRo7tZ
72,Hun Er Varm,Carmon,16014,2017-01-06,dk,6Ue3KRTpzVAdRbzzHFHXaN
73,Angel Zoo,Phlake,15918,2017-01-06,dk,672amoeenDyj593OhDRgak
74,Love Yourself,Justin Bieber,15651,2017-01-06,dk,3hB5DgAiMAQ4DzYbsMq1IT
75,Ja Dak,Ritalin,15038,2017-01-06,dk,6c7q4ZfJhsByc5cKH1cLOl
76,Smukkest På En Søndag,Joey Moe,15037,2017-01-06,dk,0PeHQTWoq25q8TItzVfHYZ
77,7 Years,Lukas Graham,14998,2017-01-06,dk,7129iqBafaphfc3WPCGC0L
78,Er Derude,Skinz,14802,2017-01-06,dk,7aE2eCCGYJt05y9gXr5W3x
79,We Don't Talk Anymore,Charlie Puth,14728,2017-01-06,dk,68EMU2RD1ECNeOeJ5qAXCV
80,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,14714,2017-01-06,dk,3B7udSGy2PfgoCniMSb523
81,Thinking out Loud,Ed Sheeran,14579,2017-01-06,dk,1Slwb6dOYkBlWal1PGtnNg
82,Perfect Strangers,Jonas Blue,14528,2017-01-06,dk,1CUVN2kn7mW5FjkqXTR2W1
83,Party Monster,The Weeknd,14322,2017-01-06,dk,4F7A0DXBrmUAkp32uenhZt
84,Bad and Boujee (feat. Lil Uzi Vert),Migos,14120,2017-01-06,dk,4Km5HrUvYTaSUfiSGPJeQR
85,Don't Be So Shy - Filatov & Karas Remix,Imany,14111,2017-01-06,dk,00vk0sEfb6mr2ehwSw0Uhn
86,Final Song,MØ,13967,2017-01-06,dk,4qqArAiTPueDxIp7cf87h7
87,Heathens,Twenty One Pilots,13684,2017-01-06,dk,6i0V12jOa3mr6uu4WYhUBr
88,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,13663,2017-01-06,dk,17Fd6Yb7mSbinKG8LoWfFl
89,Lady,Austin Mahone,13626,2017-01-06,dk,06NiQOIYSfeo0FaXdKV1PQ
90,Hælder Op,Ude Af Kontrol,13288,2017-01-06,dk,0dFiiODrnuKpf1N9xVe8n7
91,Guld Jul,Gulddreng,13203,2017-01-06,dk,2rui6bCZAz3yJ7YFQeyWMq
92,My Way,Calvin Harris,13187,2017-01-06,dk,1vvNmPOiUuyCbgWmtc6yfm
93,Mon Ami (feat. Shaka Loveless),Livid,13165,2017-01-06,dk,7g04srseIxDHZzOj19Bswq
94,All We Know,The Chainsmokers,12952,2017-01-06,dk,2rizacJSyD9S1IQUxUxnsK
95,Hellerup-dreng,Albert Dyrlund,12934,2017-01-06,dk,7afwb3WwFc1whlTPv2OWXL
96,Sorry,Justin Bieber,12875,2017-01-06,dk,69bp2EbF7Q2rqc5N3ylezZ
97,Sex,Cheat Codes,12724,2017-01-06,dk,5DA77EqppDmCTWGovd4oTP
98,Our City,TRXD,12708,2017-01-06,dk,4MV8yeKSsls4xev14yDXL6
99,Tar Det Hele,Carmon,12701,2017-01-06,dk,6tJyacESTHXa6eCdL9pxrZ
100,Don't Let Me Down,The Chainsmokers,12612,2017-01-06,dk,0QsvXIfqM0zZoerQfsI9lm
101,By Your Side,Jonas Blue,12539,2017-01-06,dk,1D3ODoXHBLpdxolZRHWV1j
102,Tidligt Op,Gilli,12517,2017-01-06,dk,5GqBuGhnj9Km3LlOcaN101
103,The Ocean (feat. Shy Martin),Mike Perry,12391,2017-01-06,dk,2CPqh63wRVscbceKcPxwvv
104,Cheap Thrills,Sia,12276,2017-01-06,dk,27SdWb2rFzO6GWiYDBTD9j
105,Zebah,NODE,12200,2017-01-06,dk,1YNX3GbvdmuENbpp6bcrs3
106,Pregnant,Phlake,12166,2017-01-06,dk,0T8dNUoyjJHM2zDgIPK83L
107,Let It Go,James Bay,12052,2017-01-06,dk,13HVjjWUZFaWilh2QUJKsP
108,The A Team,Ed Sheeran,12016,2017-01-06,dk,1VdZ0vKfR5jneCmWIUAMxK
109,Hvor Er Du Bro?,Bro,11997,2017-01-06,dk,26wqgAnehb4gLxdaOUhziT
110,5 fine frøkner,Gabrielle,11833,2017-01-06,dk,2tFgv3sLFNc088KLtjxzVa
111,This Is What You Came For,Calvin Harris,11754,2017-01-06,dk,0azC730Exh71aQlOt9Zj3y
112,På Det Beat,Wafande,11447,2017-01-06,dk,4Ww2G8XNWfNSEkZq7PGWJi
113,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,11387,2017-01-06,dk,0L7loeTIg6akW84aEQZpCT
114,Lost Boy,Ruth B.,11336,2017-01-06,dk,0zMzyHAeMvwq5CRstru1Fp
115,Faded,Alan Walker,11234,2017-01-06,dk,7gHs73wELdeycvS48JfIos
116,Let Me Love You - Tiësto's AFTR:HRS Mix,DJ Snake,11138,2017-01-06,dk,6ULNtDItJ3KUniAOt7iuxv
117,All I Wanna Do,Martin Jensen,11003,2017-01-06,dk,0BiGd2FNDQ0eh79ZHfp6tS
118,Let Me Hold You (Turn Me On),Dante Klein,10989,2017-01-06,dk,0lmdsH1MIoLsMymnNpd6HU
119,Slem Igen (feat. Ceci Luca) - Hedegaard Remix,Blak,10985,2017-01-06,dk,0RuOWMTZNK6qOjyQhPUaG1
120,Udenfor,Molo,10861,2017-01-06,dk,6vdALpNCw1AYYvFMQLmYpU
121,Cracks,Soleima,10718,2017-01-06,dk,1hK0RW9J7P9gVdrFmgTmfG
122,All Night,The Vamps,10550,2017-01-06,dk,1yNyoWWWikbLhwIGWjZuDW
123,Thinking 'Bout You,Dua Lipa,10508,2017-01-06,dk,0gtSPYz0OHoF7k09Auq1uC
124,Bomaye,Sleiman,10491,2017-01-06,dk,0wLNTRg5WPJKxoPbIxPfHl
125,Ain't My Fault,Zara Larsson,10490,2017-01-06,dk,0ADG9OgdVTL7fgREP75BrZ
126,Love Me Now,John Legend,10475,2017-01-06,dk,6nxQdXa1uAL0rY72wPZu89
127,Numero Uno,Carmon,10398,2017-01-06,dk,3zAUQH6We2RZ1LaDusCJbX
128,Est-ce que tu m'aimes ? - Pilule bleue,Maître Gims,10304,2017-01-06,dk,3a9TMd2Yrza6HXqqlfMtfy
129,"i hate u, i love u (feat. olivia o'brien)",gnash,10262,2017-01-06,dk,7vRriwrloYVaoAe3a9wJHe
130,Fast Car,Jonas Blue,10232,2017-01-06,dk,6OZh916QF8XNunWaP97WEZ
131,Kære Mor,NOAH,10161,2017-01-06,dk,2LnxvXiv7OvLal0bOgXDp8
132,It's Gotta Be You,Isaiah,10131,2017-01-06,dk,6cAKeFFYW2aClZSUyvqAEW
133,Overleve,Ukendt Kunstner,10054,2017-01-06,dk,36RlgMp6EFHKc2NEQ882nF
134,You're Not There,Lukas Graham,9939,2017-01-06,dk,2NcIzHF5abrURe1IPldnD0
135,Please Don't Go,Joel Adams,9839,2017-01-06,dk,3cNjgVBKTJ1SvKhunrCdVy
136,Chantaje (feat. Maluma),Shakira,9838,2017-01-06,dk,6mICuAdrwEjh6Y6lroV2Kg
137,Flyva,Volkan,9708,2017-01-06,dk,6W2OooyxIA7ypic7POmpOy
138,Adios,Gilli,9705,2017-01-06,dk,6uGjN966pQMwlpS3D3iv8n
139,Let Her Go,Passenger,9641,2017-01-06,dk,2jyjhRf6DVbMPU5zxagN2h
140,We Don't Have To Take Our Clothes Off,Ella Eyre,9584,2017-01-06,dk,61iyAeMVUNu7vIVqedsBFB
141,C'est la vie (feat. MellemFingaMuzik),Gilli,9558,2017-01-06,dk,5WCilecRDzclVGuG5qMwKX
142,"How Far I'll Go - From ""Moana""",Alessia Cara,9491,2017-01-06,dk,5hYTyyh2odQKphUbMqc5gN
143,Panda,Desiigner,9437,2017-01-06,dk,5OOkp4U9P9oL23maHFHL1h
144,Shout Out to My Ex,Little Mix,9433,2017-01-06,dk,0YHUITU3w6ws1v8ehT264g
145,Sidewalks,The Weeknd,9317,2017-01-06,dk,4h90qkbnW1Qq6pBhoPvwko
146,Bad Things (with Camila Cabello),Machine Gun Kelly,9308,2017-01-06,dk,1PSBzsahR2AKwLJgx8ehBj
147,Six Feet Under,The Weeknd,9238,2017-01-06,dk,4mU5iXHeLgbR94siF7p1sY
148,Fucking Nummer,Ukendt Kunstner,9207,2017-01-06,dk,64mWFnjL0AvzuBzXVQ3qmp
149,Too Good,Drake,9108,2017-01-06,dk,11KJSRSgaDxqydKYiD2Jew
150,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,8988,2017-01-06,dk,0fH86zQcE2CmATQju6WpXv
151,Broccoli (feat. Lil Yachty),DRAM,8986,2017-01-06,dk,7yyRTcZmCiyzzJlNzGC9Ol
152,Deja Vu,J. Cole,8889,2017-01-06,dk,6I6NX6tjGsxFAsIfGzY9lJ
153,Husk,L.O.C.,8865,2017-01-06,dk,55Da3mW47G3G0KY2A0o36E
154,What Do You Mean?,Justin Bieber,8851,2017-01-06,dk,3pzjHKrQSvXGHQ98dx18HI
155,Heartbeat,Christopher,8770,2017-01-06,dk,4uzaKmkExQmSM4ku8HmTxl
156,Hymn for the Weekend - Seeb Remix,Coldplay,8768,2017-01-06,dk,1OAiWI2oPmglaOiv9fdioU
157,Do You,Noah Carter,8640,2017-01-06,dk,03lq55g82Acj75uyIuFgAC
158,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,8626,2017-01-06,dk,4dASQiO1Eoo3RJvt74FtXB
159,Pong Dance,Vigiland,8604,2017-01-06,dk,3AVnIi6HvEiHGlIj4c6ok2
160,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,8599,2017-01-06,dk,4tCtwWceOPWzenK2HAIJSb
161,Controlla,Drake,8579,2017-01-06,dk,6F609ICg9Spjrw1epsAnpa
162,Morgenfest,Chriz & Heino,8553,2017-01-06,dk,1XfvWGurBrHgcsr7Q34XpA
163,No Money,Galantis,8543,2017-01-06,dk,0gb1J5UrTpzaU1s3nupgCd
164,Neonlys,Ukendt Kunstner,8532,2017-01-06,dk,1fYNJKlLilEEBAKWDKD2vC
165,Drop That Low (When I Dip),Tujamo,8516,2017-01-06,dk,4gMCKJJzpibteIRw3xZL2R
166,Handler Med En Pro,Carmon,8493,2017-01-06,dk,4KS2r97pt1KqDaeeeLw2UA
167,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,8489,2017-01-06,dk,1lItf5ZXJc1by9SbPeljFd
168,Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,8453,2017-01-06,dk,0yJv0G7r1PZIl1CY5XhvkR
169,Lige Nu,Ukendt Kunstner,8448,2017-01-06,dk,4omUGyar1vBpoHIbik9GCf
170,Slow Down the Flow,TAL,8435,2017-01-06,dk,1ioESldLZmLygiJjeM0FGg
171,Blodskudt,Jamaika,8400,2017-01-06,dk,75L2KgB1DNkjY28GVB82nS
172,Stressed Out,Twenty One Pilots,8379,2017-01-06,dk,3CRDbSIZ4r5MsZ0YwxuEkn
173,Take Me To Church,Hozier,8345,2017-01-06,dk,0IqKeD8ZSP72KbGYyzEcAs
174,Hello,Adele,8331,2017-01-06,dk,4sPmO7WMQUAf45kwMOtONw
175,Redbone,Childish Gambino,8318,2017-01-06,dk,3kxfsdsCpFgN412fpnW85Y
176,Stadig Original,Carmon,8285,2017-01-06,dk,1OiOO7ttBMg0UbkDkZebJi
177,Tenerife Sea,Ed Sheeran,8262,2017-01-06,dk,6vSwxzO2Qf4BinHSXRwZJe
178,What Happened To Perfect,Lukas Graham,8175,2017-01-06,dk,6MbtUcXRSDlJ4Zu3CYWMEG
179,Love On The Brain,Rihanna,8154,2017-01-06,dk,2aksifNn5ph8igDOkPBA02
180,Stay With Me,Sam Smith,8111,2017-01-06,dk,5Db9VIdDsN5yu3Eu7CT0i4
181,No Lie,Sean Paul,8097,2017-01-06,dk,3cFsmM51N5zMAuu1nNY4Tw
182,Oracle,Timmy Trumpet,8052,2017-01-06,dk,5oGm8Hm6sUQIlGu0X0p6xS
183,Lights Out (Too Drunk) [feat. Hayla],DJ Katch,8018,2017-01-06,dk,5Oh3cW5gnEEKPsHb1WrVWm
