Position,Track Name,Artist,Streams,date,region,spotify_id
59,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1832,2017-01-06,py,5q2JbCNi4FcnglgPfxcV65
60,Chillax (feat. Ky-Mani Marley),Farruko,1828,2017-01-06,py,1lxswgIpzV6HhENRvkflES
61,Mi tesoro (feat. Nicky Jam),Zion & Lennox,1822,2017-01-06,py,5HABnFSYvl6mTmg8nSdzHa
62,Traicionera - Remix,Sebastian Yatra,1765,2017-01-06,py,2webQDZmtGioeu3zUUi9We
63,We Don't Talk Anymore,Charlie Puth,1744,2017-01-06,py,68EMU2RD1ECNeOeJ5qAXCV
64,Photograph,Ed Sheeran,1720,2017-01-06,py,6fxVffaTuwjgEk5h9QyRjy
65,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1713,2017-01-06,py,3NdDpSvN911VPGivFlV5d0
66,Muchachita,Bonny Lovy,1669,2017-01-06,py,0B38YZydPDJz9N4uR9hULg
67,I Feel It Coming,The Weeknd,1662,2017-01-06,py,5GXAXm5YOmYT0kL5jHvYBt
68,Si me dices que sí (feat. Nicky Jam),Cosculluela,1656,2017-01-06,py,3noN1TxpjbjjmKqssghvg8
69,Black Beatles,Rae Sremmurd,1631,2017-01-06,py,6fujklziTHa8uoM5OQSfIo
70,Manicomio,Cosculluela,1624,2017-01-06,py,3n58u3LOFw8mITLvfPvQBz
71,Desde Que la Vi,Bonny Lovy,1598,2017-01-06,py,7cSzVyvsFzHOGIxX540DVd
72,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1542,2017-01-06,py,6JV2JOEocMgcZxYSZelKcc
73,This Is What You Came For,Calvin Harris,1542,2017-01-06,py,0azC730Exh71aQlOt9Zj3y
74,El chisme,Reykon,1470,2017-01-06,py,4VXejnj5WgM6H72ct2fSgQ
75,Hymn for the Weekend - Seeb Remix,Coldplay,1460,2017-01-06,py,1OAiWI2oPmglaOiv9fdioU
76,Bumbum Granada,Mc's Zaac & Jerry Smith,1448,2017-01-06,py,4SCH5CuivFcShLpTg8lYOf
77,Thinking out Loud,Ed Sheeran,1438,2017-01-06,py,1Slwb6dOYkBlWal1PGtnNg
78,Ruleta Rusa,Kevin Roldan,1436,2017-01-06,py,77KHmKnBmVGTjRCeMVXpWH
79,Que Raro,Feid,1432,2017-01-06,py,3kg9JvQe6QJFKUQCN1oIQz
80,Middle,DJ Snake,1422,2017-01-06,py,4OZEu0Vwq0RB2LAq14v99n
81,Me Ama Me Odia,Ozuna,1394,2017-01-06,py,6041gM9Th1ViQcnzkIxnuv
82,All We Know,The Chainsmokers,1393,2017-01-06,py,2rizacJSyD9S1IQUxUxnsK
